week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.856,1.616,2.7892,2020-12-31
2,3.676,1.733,2.7319,2021-01-07
3,3.768,1.655,2.6952,2021-01-14
4,4.041,1.866,2.8217,2021-01-21
5,3.729,1.545,2.7153,2021-01-28
6,3.704,1.51,2.5889,2021-02-04
7,3.567,1.431,2.5953,2021-02-11
8,3.521,1.299,2.4999,2021-02-18
9,3.914,1.17,2.5442,2021-02-25
10,3.744,1.456,2.483,2021-03-04
11,3.713,1.333,2.5819,2021-03-11
12,3.373,1.364,2.3854,2021-03-18
13,3.51,1.072,2.4026,2021-03-25
14,3.656,1.139,2.3956,2021-04-01
15,3.465,1.221,2.3843,2021-04-08
16,3.621,1.047,2.3077,2021-04-15
17,3.473,0.977,2.405,2021-04-22
18,3.825,1.374,2.4502,2021-04-29
19,3.409,1.114,2.3493,2021-05-06
20,3.381,1.383,2.4118,2021-05-13
21,3.579,0.971,2.3206,2021-05-20
22,3.447,1.16,2.3806,2021-05-27
23,3.723,1.109,2.4486,2021-06-03
24,4.783,1.312,2.6438,2021-06-10
25,3.848,1.743,2.813,2021-06-17
26,3.706,1.745,2.7149,2021-06-24
27,3.908,1.687,2.7939,2021-07-01
28,4.26,2.113,3.1334,2021-07-08
29,4.839,2.429,3.3641,2021-07-15
30,4.343,2.473,3.2385,2021-07-22
31,4.793,2.129,3.2421,2021-07-29
32,4.991,1.654,3.1442,2021-08-05
33,4.936,2.324,3.5571,2021-08-12
34,4.545,2.035,3.0718,2021-08-19
35,5.111,2.27,3.3229,2021-08-26
36,4.794,2.24,3.2725,2021-09-02
37,4.951,2.242,3.4357,2021-09-09
38,5.026,1.561,3.0339,2021-09-16
39,4.733,2.071,3.004,2021-09-23
40,4.256,2.123,3.0267,2021-09-30
41,3.711,1.503,2.6898,2021-10-07
42,3.712,1.621,2.65,2021-10-14
43,3.758,1.584,2.6241,2021-10-21
44,3.94,1.589,2.6999,2021-10-28
45,3.607,1.328,2.6286,2021-11-04
46,4.075,1.819,2.7557,2021-11-11
47,3.704,1.673,2.6685,2021-11-18
48,3.765,1.646,2.6286,2021-11-25
